placement,team_name,country_code,score
1,Kawiarnia Szkocka,PL,87995.1
1,Karman,FR,87995.1
1,Fast and Fourier,GB,87995.1
1,Head of Vol and Hybride,FR,87995.1
1,All-In-River-Bluff,GB,87995.1
1,Praxis Prodigies,CA,87995.1
1,yuh,AU,87995.1
1,Cardiff Maths,GB,87995.1
1,DU Market Making,GB,87995.1
1,AmsterdamToZurich,NL,87995.1
1,DU Market Makers,GB,87995.1
1,Prosperous guys,GB,87995.1
1,Alpha Lei,CN,87995.1
1,EgglesCake,IN,87995.1
1,63-bit integers,AU,87995.1
1,frankshen,AU,87995.1
1,Cyg X-1,CH,87995.1
1,Simurgh,IT,87995.1
1,The Reaver,IN,87995.1
1,Cor Caroli,DE,87995.1
1,DU Quant,GB,87995.1
1,Caustic Orbifold,PH,87995.1
1,Alpha Search Team,GB,87995.1
1,Keble Kwants,GB,87995.1
1,CUATS 2,GB,87995.1
1,PMQuants,PT,87995.1
1,IMPS,GB,87995.1
1,John Street,CA,87995.1
1,Tall,AU,87995.1
1,Chai_Pe_Trading,IN,87995.1
1,Lehman Bros,GB,87995.1
1,Big4,GB,87995.1
1,PorkyQuants67,AU,87995.1
1,PANDORA,IN,87995.1
1,TheSilenceOfTheLambdas,IT,87995.1
1,404 Team Not Found,IN,87995.1
1,FlyingRedBird,HK,87995.1
1,Aaran,GB,87995.1
1,Deterministic Descent,CH,87995.1
1,gold diggers,IN,87995.1
1,Pluto,DE,87995.1
1,Prometheus,NL,87995.1
1,Gashoks Bocconi,IT,87995.1
1,sn1per,AU,87995.1
1,PolymarkETH Veteran,DE,87995.1
1,adverse selectors,SG,87995.1
1,TheLast1Q,IN,87995.1
1,delta_one,IN,87995.1
1,SuperVoids,SG,87995.1
1,Outpost One,NL,87995.1
1,Hyenas,IN,87995.1
1,Alpha cartel,IN,87995.1
1,Profiteers,NL,87995.1
1,low cortisol traders,GB,87995.1
1,Centrale Alpha Fund,FR,87995.1
1,Hello World,AU,87995.1
1,Pierpoint CPS Desk,AU,87995.1
1,Bonobo,SE,87995.1
1,Meteorite pirate,CN,87995.1
1,Antigravity,IN,87995.1
1,Ad astra,DE,87995.1
1,The Silenceer,IT,87995.1
1,Red Kings,HK,87995.1
1,spaceship,IN,87995.1
1,LITTLE BOY,IN,87995.1
1,DU Trading,GB,87995.1
1,Breaking Beta,AU,87995.1
1,Curd Rice,IN,87995.1
1,DU Trading Desk,GB,87995.1
1,San Ti Ren,EE,87995.1
1,alphamaxxing,AU,87995.1
1,SR,GB,87995.1
1,Phoenix,IN,87995.1
1,sparrow,IN,87995.1
1,Overfit,US,87995.1
1,Quant Bros,CH,87995.1
1,Hongbao Traders,NL,87995.1
1,Viltrum Empire,IN,87995.1
1,xr,US,87995.1
1,SoanPapdi,IN,87995.1
