placement,team_name,country_code,score
1,yuh,AU,213845.27
2,Negative Eevee,NL,211239.51
3,Vibing,AU,209840.98
4,Seven Deuce Capital,US,208281.23
5,DU Trading,GB,208205.91
6,DU Market Makers,GB,207535.79
7,The Big Posteriors,US,207376.04
8,DU Quant,GB,207309.91
9,Une Baguette Fromage,NL,207308.23
10,DU Trading Desk,GB,207285.79
11,optieverhandelaaren,US,206580.76
12,Flowstate,US,206189.98
13,Prosperity Crushers,AU,205792.41
14,broke like joc,AU,205728.04
15,Hexatech,GB,205618.79
16,prosperity 3 man,AU,205585.79
17,DU Market Making,GB,205534.23
18,glou,GB,205366.66
19,ShrimpTrading,PL,205347.41
20,72 Sigma,US,205283.88
21,63-bit integers,AU,204922.51
22,Exodia,CA,204850.79
23,DannyNegru,IN,204679.04
24,nema problema ovde,RS,204395.79
25,porridge,US,204125.79
26,Arcadia 2,IT,203995.1
27,Open for Quant Jobs,CH,203860.54
28,BASTION,AU,203418.52
29,John Slope,US,203243.13
30,gacrux,AU,203099.41
31,final position 10 at 15,AU,203073.23
32,Algoholicz,IN,202520.71
33,BlackSouls,IN,202238.98
34,fenn,US,202035.54
35,CCC_v2,US,201835.23
36,Jaded,US,201738.04
37,CarbonBlack,IN,200979.79
38,Infinity Stones,IN,200939.79
39,cRashCrafters,DE,200387.79
40,Gorlock,IN,200159.18
41,Myname,IN,200135.79
42,second_best,US,200038.51
43,Space Monkeys,IN,199704.79
44,Cosmic Latte,IN,199703.79
45,Alien,DE,199535.21
46,Euporia,US,199428.79
47,drunken noodles,US,199274.1
48,abacus,US,199213.41
49,TUMorrow Traders,DE,198940.1
50,Beauty Hunters,CH,198746.38
51,DCJ9,US,198672.01
52,Poverty,IN,198669.6
53,TatooineTraders,CH,198512.57
54,Meiji Restoration,AU,198376.41
55,ICT Mogged,AU,198372.19
56,Yin,HK,198364.99
57,WanderingTraders,AT,198175.21
58,HATSK,US,198034.79
59,BelmonteHunters,CH,197912.18
60,Caustic Orbifold,PH,197899.01
61,kumon,ID,197767.38
62,CUATS 2,GB,197700.1
63,1112233,TW,197526.35
64,test1,GB,197398.16
65,Solarflare,DE,197109.54
66,Vega,ES,196691.18
67,Uvic lions,CA,196399.51
68,unknownpophaha,AU,196200.18
69,Waterloo Courtsiders,CA,196175.79
70,Alphito,ES,196167.3
71,AgentLab,CN,196134.79
72,Keble Kwants,GB,196085.54
73,The Silence of Lambdas,IT,195922.3
74,Twisted Minds,IN,195575.26
75,Jane Avenue,US,195470.66
76,Margin Call Mafia,IN,195425.98
77,PMQuants,PT,195275.63
78,Secret Sauce,US,195186.54
79,dih,GB,194946.55
80,RealCityScape,DK,194768.91
81,bear,US,194523.85
82,XIREC Collectors,CO,194454.94
83,Centrale Alpha Fund,FR,194354.54
84,Roots Ocean Prime,CN,194140.32
85,OntarioStreet700,HK,194052.76
86,Gautam,US,194033.77
87,Dream Team,US,194008.54
88,psrbot,AU,193934.41
89,Alpha Search Team,GB,193892.55
90,Rocky Mountain Goats,IN,193687.23
91,Qu4nt D3stroy3rs,US,193606.54
92,derMiro,HR,193584.85
93,team team team,GB,193580.82
94,The Arbitrage Goats,US,193546.13
95,Tayaya Trading,BR,193479.32
96,PowderDays,AT,193452.79
97,Oracles of Delphi,US,193435.85
98,Meiji,GB,193435.05
99,Stop the Birds,AT,193341.79
100,The Vega Games,AU,193299.91
101,GUDG,SE,193131.79
102,A manger,GB,193099.85
103,JackOfHearts,AT,193077.79
104,The Mountain Goats,GB,193071.23
105,TTG,US,193008.54
106,Geezers of the Galaxy,IE,192961.04
107,Berkeley x Stanford,US,192954.54
108,Mamba In,US,192940.57
109,Frankfurt_Hedgehawk,DE,192939.63
110,Hyenas,IN,192692.85
111,Who is weady to wumble,AU,192690.1
112,X Liquidity Providers,IT,192649.54
113,Whim,IN,192527.79
114,Pluto,DE,192443.54
115,yurtles,US,192311.85
