placement,team_name,country_code,score
1,Vibing,AU,323928.76
2,The Big Posteriors,US,238709.83
3,DU Trading,GB,234748.94
4,optieverhandelaaren,US,233814.54
5,DU Market Making,GB,232678.04
6,63-bit integers,AU,232470.5
7,Seven Deuce Capital,US,228039.57
8,BASTION,AU,227949.42
9,Hexatech,GB,227398.63
10,Meiji Restoration,AU,225923.69
11,HireMePLSSSSSSSSSSSSSSS,SG,225779.05
12,yuh,AU,222959.17
13,Alien,DE,222801.6
14,Une Baguette Fromage,NL,222267.01
15,glou,GB,221769.56
16,Proton,AU,221141.53
17,two big guys,AU,220901.25
18,porridge,US,219341.82
19,Arcadia 2,IT,218330.97
20,nikkei traders,AU,218086.75
21,ICT Mogged,AU,217958.09
22,Cardiff Maths,GB,217232.52
23,BelmonteHunters,CH,216947.25
24,CarbonBlack,IN,216474.69
25,unknownpophaha,AU,216328.17
26,Junk Trading,CN,216248.34
27,Alpha Search Team,GB,215480.2
28,MFAMSMC River Trading 2,US,215352.38
29,CCC_v2,US,215340.82
30,Gorlock,IN,214750.44
31,Tundra-wawa,AU,214518.02
32,USYD_No_1,AU,214393.77
33,bear,US,214206.75
34,team team team,GB,213860.38
35,kumon,ID,213422.28
36,Satisfactory,IN,212808.82
37,Vegasteroids,FR,212406.44
38,72 Sigma,US,212174.66
39,DCJ9,US,212145.85
40,Gautam,US,211657.95
41,bun_maska,IN,211347.38
42,1112233,TW,211306.75
43,The Arbitrage Goats,US,211217.53
44,Roots Ocean Prime,CN,210912.69
45,Jaded,US,210371.94
46,Meiji,GB,210345.95
47,BlackSouls,IN,210116.19
48,Geezers of the Galaxy,IE,209695.53
49,The Vega Games,AU,209236.25
50,CUATS 2,GB,208977.73
51,avrrop,IN,208896.53
52,GoBears,US,208710.29
53,Praxis Prodigies,CA,208367.97
54,Cyg X-1,CH,208270.35
55,SNUCLS,KR,208232.1
56,Im living my life,GB,208220.37
57,Margin Call Mafia,IN,208213.21
58,ChronoPhage,IN,208051
59,Paris,FR,208033.07
60,Who is weady to wumble,AU,207872.13
61,HATSK,US,207756.69
62,TheDunningKrugerEffect,GB,207668.13
63,Starmie,US,207642.32
64,Zaremar,SE,207608.5
65,cRashCrafters,DE,207394.63
66,Whim,IN,207371.33
67,Lagrange Multiplier,GB,207309.35
68,gacrux,AU,207246.44
69,404 Team Not Found,IN,207240.38
70,SatoruGojo,CA,207191.95
71,Alphito,ES,207145.11
72,Eulers_Tour,IN,206938.08
73,Goaterhouse,GB,206878.41
74,TUMorrow Traders,DE,206844.05
75,AlphaStockGrookers,CH,206825.25
76,drunken noodles,US,206795.13
77,Dark Forest Hunter,US,206694.56
78,Poverty,IN,206670.59
79,Escape Velocity,IN,206417.94
80,Solarflare,DE,206331.8
81,Zolu,US,206252.15
82,polite_monkey,IN,206242.21
83,SR,GB,206096.28
84,Draguax,AU,205945.69
85,nema problema ovde,RS,205814.94
86,Market Predators,SG,205799.28
87,faze shyft,IN,205727.94
88,Open for Quant Jobs,CH,205682.13
89,State Space Time,US,205635.14
90,DU Team128319283,GB,205507.52
91,Too_Sigma,IN,205438.36
92,Sheep of Wall Street,US,205437.13
93,ShrimpTrading,PL,205322.06
94,Frankfurt_Hedgehawk,DE,205315.66
95,Fergus,CA,205250.38
96,Kunts,IN,205029.56
97,OntarioStreet700,HK,205002.41
98,John Prosperity,US,204799.7
99,Exodia,CA,204778.32
100,Buy_low_sell_high,IN,204633.87
101,Wo_de_dao_dun,US,204626.98
102,Adwait,US,204514.62
103,SeashellsInSpace,AU,204317.58
104,Tayaya Trading,BR,204231.05
105,IOI,US,204220.69
106,Algoholicz,IN,204213.36
107,Chi,NZ,204151
108,Naser Alsayegh,BH,204063.8
109,Zextros,IN,204013.95
110,TatooineTraders,CH,203934.57
111,DHMS Trading Inc,AU,203846.94
112,Pina Koala,HK,203840.38
113,second_best,US,203803.64
114,AlphaFunders,GB,203791.78
115,Path of Progress,HK,203762.38
116,PowderDays,AT,203756.69
117,Jinya,FR,203705.63
118,Intara-Day Trading,AU,203422.74
119,dih,GB,203376.01
120,Plain N Spicy,NL,203352.01
121,delta_one,IN,203248.35
122,Gurren Lagann,NL,203213.12
123,Orbital Edge,AU,203141.82
124,TinkleTown,AU,203131.16
125,BUENO TRADERS,AE,203049.01
126,Antigravity,IN,203026.25
127,PMQuants,PT,203021.61
128,Peter Hall Warriors,AU,202940.85
129,Chewbacca,GB,202819.53
130,FMI_brat,BG,202781.72
131,GSTD,FR,202762.79
132,bacca burrito,US,202724
133,Jjjjj,AF,202534.1
133,tt3,IE,202534.1
134,SufferingFromProsperity,IN,202530.04
135,Twisted Minds,IN,202418.78
136,Red Devils,US,202403.07
137,Pine Street,US,202330.32
138,InQuantsWeTrust,US,202309.44
139,Arbitragers,IN,202292.38
140,TheLast1Q,IN,202203.37
141,Cucumber,GB,202184.88
142,Helicopter Holding,NL,202152.84
143,ras,US,202142.25
144,J4offsuit,AT,202131.69
145,hissss,IN,202116.06
146,Under Construction,IN,202036.18
147,Quantitative Edge,US,202010.27
148,XIREC Collectors,CO,201938.97
149,nEvermind,GB,201907.57
150,Siuuuuu,IN,201865.09
151,DannyNegru,IN,201806.07
152,Camel,IN,201790.93
153,Outsiderss,GB,201775.38
154,Cali Cat,US,201762.25
155,Pondu Warriors,IN,201711.71
156,exploring,IN,201625.63
157,THE CHINDIAN,GB,201587.47
158,Areach,US,201430.5
159,Top,BG,201336.19
160,Westbrick,US,201329.75
161,Solo Bolo,US,201329.19
162,Farming in Space,HK,201236.09
163,Crunch Rock,US,201173.75
164,QuantFire,FR,201113.57
165,Neil Trading,US,200994.44
166,Variance of Varna,NL,200985.53
167,Vanguard,US,200976.69
168,Flowstate,US,200892.82
169,8 Brazillian Bytes,US,200879.79
170,MarginCallers,AU,200874.19
171,pa,US,200852.94
172,DARTY,US,200828.12
173,Trade Chefs,IN,200784.07
174,Good study - Day up,DE,200777.67
175,RT Gamma,GB,200730.85
176,Trad3,GB,200703.83
177,NYU Alpha Wolvez,US,200635.72
178,Elarion,IN,200619.7
179,HKUSTSomethingSomething,HK,200518.28
180,Alpha__,IN,200484.42
181,northwestern,US,200463.64
182,CHOAM,CN,200404.16
183,SPL,US,200400.85
184,Starkl7,US,200150.61
185,VolaLens,DE,200047.15
186,LLBEAN,US,200046.19
187,BlackSwans,AU,200006.39
188,yurtles,US,199990.88
189,SlimeBallerz,CA,199988.94
190,Cosmic minds,US,199912.93
191,GMI,US,199910.66
192,Experienced traders,US,199897.72
193,FloridaManSpaceProgram,US,199830.15
194,ExitLiquidity,NL,199809.76
195,Yin,HK,199798.39
196,prosperity hope,IN,199768.69
197,Wave,US,199754.8
198,Grossman Zhou,US,199699.3
199,Birans disciples,SK,199692.93
200,mop,GB,199577.54
201,Dhurandhars,IN,199514.03
202,plshireme,US,199487.64
203,Running Out of Theta,GB,199468.85
204,Martingale Magic,US,199430.26
205,Here4TheVibes,US,199382.36
206,john_z11,US,199337.13
207,Galaxy traders,NL,199291.32
208,Michigan Edge,US,199267.57
209,TheBigLevy,IT,199259.61
210,A manger,GB,199238.25
211,DECIDED,IN,199219.23
212,roorkeepelago,IN,199217.21
213,nahhh,GB,199152
214,Homiefans,US,199145.23
215,Curd Rice,IN,199129.52
216,Solo Star,IN,199115.7
217,Prosperity4,US,199074.85
218,IndefinitePossibilities,HK,199041.47
219,Singolare,IT,199018.57
220,Maka8aka,US,198981.38
221,Theoneandonly,IN,198975.78
222,JumboQuants,US,198944.33
223,Hapjeshoek,NL,198913.28
224,Mamba In,US,198898.47
225,buy_higher_sell_high,IN,198883.79
226,Harry,GB,198865.12
227,CAGR paglus,IN,198695.46
228,QRG,US,198693.47
229,Patu Securities,IT,198642.57
230,Gangnam Style,US,198618.47
231,Pierpoint CPS Desk,AU,198615.92
232,The Bystanders,US,198598.28
233,QuartusPrime,CA,198586.84
234,GammaDelta,US,198585.91
235,RsR,IN,198567.03
236,Discovery 91,IT,198552.22
237,The Sharpe Squad,FR,198527.04
238,mitran di chatri,IN,198502.69
239,Kleptocrat,NL,198462.11
240,HP_Sauce,GB,198455.61
241,InfNullity,GB,198455.13
242,Ctrl C Ctrl Win,IN,198438.16
243,OU traders,IN,198429.04
244,Diworsification,AU,198414.27
245,TA,VN,198388.41
246,OuterTrojan,GB,198374.82
247,Best of the rest,IN,198368.44
248,TheVCs,RO,198365.66
249,WanderingTraders,AT,198362.24
250,sojao bachhon,IN,198350.92
251,The Silence of Lambdas,IT,198315.2
252,piggassyinshamrock,US,198308.16
253,Quancks,ES,198305.72
254,RQR,AU,198300.66
255,I am Maximus,FR,198272.16
256,broke like joc,AU,198267.19
257,officially employed,SG,198252.49
258,DaBaBanii,NL,198251.28
259,Stochastic Bulls,IT,198250.1
260,The Casuals,GB,198242.81
261,Atlas Trading,CA,198242.48
262,Pull The Trigger,GB,198236.13
263,RMK Partners,US,198191.54
264,WETERR,US,198185.04
265,NJATT,IN,198166.5
266,SEVEN,IN,198138.19
267,vibe traderszz,US,198136.25
268,Valse Stream,GB,198133.59
269,Hormuz,SZ,198129.58
270,TFTG,AU,198128.97
271,Athena123,AU,198101.31
272,PuliyadiBetko,IN,198094.15
273,Shell,US,198073.47
274,Polytraders,FR,198068.53
275,tropicalflavour,GB,198056.85
276,Zero EV,GB,198052.63
277,loong,AU,198045.91
278,taispmoicl,IN,198040.37
279,Enigma,CH,198007.6
280,LittleSaintJamesIsland,SG,197981.28
281,Deep Dutch,NL,197976.1
282,Taiwan Number 1,US,197947.09
283,natural logarithm,AU,197940.88
284,What am I doing,CA,197940.14
285,Goose Capital,US,197933.41
286,Stilpo Capital,AU,197918.04
287,BagHolders,NZ,197887.19
288,Alpha Architects,IN,197858.3
289,Sannin,IN,197835.04
290,Speed Traders,GB,197806.77
291,PremiumAlpha,US,197722.64
292,uetlibytes,CH,197718.25
293,GeniusY,CN,197708.22
294,Suboptimal but Steady,PL,197698.5
295,Early Investor,NL,197671.91
296,TryBest,CN,197651.79
297,myf,US,197646.74
298,NothingToSay,AU,197645.24
299,Peaky Minors,HK,197641.56
300,Hoosiers,US,197636.97
301,StarStarStar,CN,197600.58
302,Harsh Raj,IN,197571.83
303,Cartel Business School,US,197568.67
304,Hedge This,AU,197560.45
305,ErfaErfa,US,197547.85
306,InsomniacOwl,IN,197530.04
307,UM Space Ducks,NL,197484.06
308,T1,US,197462.31
309,Delta Forge,SG,197428
310,meow_meow,IN,197413.01
311,Zuwu,AQ,197372.08
312,IWD,DE,197341.85
313,Spacetime,IN,197317.18
314,big big chungus,US,197314.38
315,Never Lucky,AU,197280.04
316,WeLikeMoney,IN,197265.47
317,Astra Edge,IN,197263.25
318,Lyari,IN,197250.13
319,aunix47,IN,197232.74
320,AndromedaAlpha,US,197222.04
321,Prop,GB,197213.99
322,Swift Traders,US,197192.82
323,Elan,IN,197176.06
324,Panini Maker,FR,197153.75
325,Pocket Queens,US,197152.25
326,Nimitz,CA,197119.44
327,overfit_and_pray,GB,197109.11
328,Elon Musk,US,197105.98
329,The Reaver,IN,197078.5
330,elite 123,IN,197063.22
331,GFund,US,197062.32
332,CSBMM,US,197048.66
333,Straight Flush,US,197048.04
334,Sieve0,BR,197014.63
335,Patanii,NL,197003.3
336,______,CY,196994.38
337,KopiCoders,SG,196979.47
338,Wangr,CH,196956.32
339,Pilani Research Capital,IN,196927.13
340,Hail_mary26,IN,196905.22
341,Qu4nt D3stroy3rs,US,196897.82
342,Palante,BE,196889.63
343,MikeyTeam,CN,196826.13
344,BLANC,IN,196813.56
345,PnP,AU,196804.94
346,ITALIAN HUSTLERS,IT,196797.69
347,Beta Than You,IN,196788.75
348,Spectral Decomposers,CA,196773.12
349,Live Long and Prosper,US,196739.88
350,Rebel,GB,196719.04
351,derMiro,HR,196709.75
352,Lasagna Capital,IT,196707.72
353,404_Alpha Not Found,US,196686.61
354,g34,KZ,196675.74
355,Shanibal,GB,196667.09
356,BreakFromValley,US,196659.25
357,crazycomputingpower,US,196647.59
358,LxL,US,196636.81
359,Reaching For The Stars,US,196614.17
360,FlyingRedBird,HK,196579.96
361,Piggies,NZ,196564.2
362,I love Claude,US,196562.94
363,NAC,CH,196556.6
364,Overfitters,IN,196553.36
365,Gallipoli,TR,196545.87
366,Via Negativa,AU,196530.25
367,Bluebook,IN,196517.93
368,Uvic lions,CA,196481.75
369,Wololo,US,196479.65
370,Simplex,ES,196468.31
371,PigameforTrading,CN,196453.06
372,Beauty Hunters,CH,196451.28
373,fsuquantlarper,US,196378.15
374,wolfie,IN,196372.04
375,Not last place,IE,196367.84
376,Monte Carlo Bay,NL,196365.2
377,ORAS,GB,196311.08
378,vibecoders,US,196307.88
379,MP123,CN,196297
380,Pietramelara,IT,196275.53
381,Little Apple Legends,US,196267.92
382,Shai hulud,US,196265.38
383,KTH Moon Travellers,SE,196230.83
384,alphamaxxing,AU,196217.33
385,FeynmanKac,IT,196206.44
386,Gamma Quants,US,196201.7
387,Wffl Warriors,US,196198.75
388,Rames,US,196169.75
389,Quant Larpers,NO,196118.41
390,Credit_Debit,SG,196105.78
391,Buzz Lightyear LLC,US,196068.17
