placement,team_name,country_code,score
1,IMPS,GB,305864.58
1,gold diggers,IN,305864.58
1,Variance of Varna,NL,305864.58
1,abacus,US,305864.58
1,market maxxer,IN,305864.58
1,Open for Quant Jobs,CH,305864.58
1,Margin Call Alpha,AU,305864.58
1,Breakout Squad,IN,305864.58
1,mitran di chatri,IN,305864.58
1,yc_thirteen,US,305864.58
1,IQ Arbitrage,GB,305864.58
1,PROPSERITY,IN,305864.58
1,Wangr,CH,305864.58
1,Space Invaders,CA,305864.58
1,Heels,US,305864.58
1,ETHedge,CH,305864.58
1,RMK Partners,US,305864.58
1,Tundra-wawa,AU,305864.58
1,EconIsARealMajorWeSwear,US,305864.58
1,Factor6Trading,US,305864.58
1,Birans disciples,SK,305864.58
1,Penn State Quants,US,305864.58
1,SHC Quants,AU,305864.58
1,Delta Hedgehogs,AU,305864.58
1,HP_Sauce,GB,305864.58
1,BetaTrader,NZ,305864.58
1,RockStocks,CN,305864.58
1,Une Baguette Fromage,NL,305864.58
1,awmlet,CA,305864.58
1,VulcansHammer,US,305864.58
1,UM Space Ducks,NL,305864.58
1,RugPullers,US,305864.58
1,tapisar,IL,305864.58
1,Last Dance,US,305864.58
1,FitzRoy,US,305864.58
1,TEAM V,DE,305864.58
1,DCJ9,US,305864.58
1,RyuuBetain,IN,305864.58
1,Sheep of Wall Street,US,305864.58
1,QuantCrow,US,305864.58
1,QuriousQuant,GB,305864.58
1,workingtitle,GB,305864.58
1,hwtime,US,305864.58
1,Supermartingales,FI,305864.58
1,Bubble Up,IN,305864.58
1,MatchaClub,CH,305864.58
1,UABT,CA,305864.58
1,rat_hunters,US,305864.58
2,BLSY,AU,305863.58
2,Margin Callerz,IN,305863.58
2,blackpinkkk,KR,305863.58
2,Ad astra per aspera,CA,305863.58
3,DGT capital,BE,305766.58
3,Team Apollo - Rotterdam,NL,305766.58
3,redmond,US,305766.58
3,Gurren Lagann,NL,305766.58
3,Nothing Ever Happens,IT,305766.58
3,Alphito,ES,305766.58
4,3alpha,GB,305765.58
5,lIama,CH,305713.81
5,geese geese go,CA,305713.81
5,Thriller,BE,305713.81
5,Skill_issue,IN,305713.81
5,Algo Heroes,DE,305713.81
5,maryland_uiuc,US,305713.81
5,Econometroom,NL,305713.81
5,404BrainNotFound,US,305713.81
5,Set Isomorphism,CA,305713.81
6,Heisenburgers,IN,305712.81
6,Money Hackers,IN,305712.81
7,Starkl7,US,305615.81
