placement,team_name,country_code,score
1,Vibing,AU,627835.42
2,The Big Posteriors,US,540572.4
3,DU Trading,GB,534391.02
4,Une Baguette Fromage,NL,528131.59
5,Hexatech,GB,527567.88
6,yuh,AU,524842.93
7,CarbonBlack,IN,522020.48
8,glou,GB,521938.81
9,Meiji Restoration,AU,521526.29
10,63-bit integers,AU,521181.84
11,Tundra-wawa,AU,520382.6
12,CCC_v2,US,519247.48
13,DCJ9,US,518010.43
14,BASTION,AU,516660.76
15,bun_maska,IN,516170.03
16,Alien,DE,515151.5
17,team team team,GB,513502.46
18,Alphito,ES,512911.69
19,Vegasteroids,FR,512575.69
20,Praxis Prodigies,CA,512274.63
21,Cyg X-1,CH,512177.01
22,BlackSouls,IN,511978.76
23,Open for Quant Jobs,CH,511546.71
24,Sheep of Wall Street,US,511301.71
25,The Vega Games,AU,511120.01
26,Chi,NZ,509696.79
27,SatoruGojo,CA,509054.52
28,Gurren Lagann,NL,508979.7
29,unknownpophaha,AU,508778.93
30,Goaterhouse,GB,508762.17
31,ChronoPhage,IN,508220.25
32,polite_monkey,IN,508104.78
33,Helicopter Holding,NL,507698.63
34,Solarflare,DE,507615.47
35,Lagrange Multiplier,GB,507257.75
36,Plain N Spicy,NL,506971.72
37,Cardiff Maths,GB,506899.88
38,Variance of Varna,NL,506850.11
39,Buy_low_sell_high,IN,506517.63
40,Trade Chefs,IN,506329.86
41,Poverty,IN,506021.23
42,Starkl7,US,505766.42
43,Pondu Warriors,IN,505618.37
44,Birans disciples,SK,505557.51
45,Neil Trading,US,504901.1
46,Chewbacca,GB,504682.1
47,mitran di chatri,IN,504367.27
48,HP_Sauce,GB,504320.19
49,USYD_No_1,AU,504061.13
50,RMK Partners,US,504056.12
51,Valse Stream,GB,503673.48
52,Vanguard,US,503579.25
53,mop,GB,503386.2
54,UM Space Ducks,NL,503348.64
55,TheBigLevy,IT,503166.27
56,A manger,GB,503144.91
57,Wangr,CH,502820.9
58,Jaded,US,502721.84
59,Gangnam Style,US,502525.13
60,Qu4nt D3stroy3rs,US,502443.61
61,drunken noodles,US,502396.73
62,Shanibal,GB,502113.88
63,Who is weady to wumble,AU,501767.7
64,nEvermind,GB,501549.65
65,Peaky Minors,HK,501547.22
66,Top,BG,501505.44
67,Prop,GB,501120.65
68,Flowstate,US,501061.07
69,3alpha,GB,500915.58
70,workingtitle,GB,500862.63
71,ICT Mogged,AU,500731.95
72,Elarion,IN,500689.95
73,Cookies and Cream,DE,500419.83
74,Gashoks Bocconi,IT,500323.71
75,InfNullity,GB,500317.7
76,GammaDelta,US,499997.76
77,cRashCrafters,DE,499845.39
78,What am I doing,CA,499823.9
79,Ad astra per aspera,CA,499779.27
80,BagHolders,NZ,499749.76
81,Here4TheVibes,US,499551.61
82,Homiefans,US,499314.48
83,yc_thirteen,US,499060.64
84,Elan,IN,499059.82
85,Hail_mary26,IN,498788.98
86,Discovery 91,IT,498721.47
87,Spectral Decomposers,CA,498635.69
88,Peter Hall Warriors,AU,498543.45
89,gold diggers,IN,498390.73
90,vibe traderszz,US,498305.5
91,rat_hunters,US,498290.52
92,RugPullers,US,498215.57
93,TheVCs,RO,498007.74
94,uf,US,497929.95
95,Pull The Trigger,GB,497878.21
96,GremlinInc,IN,497872.4
97,Sugar and plum,IN,497839.19
98,Quan t Hold Us,IT,497832.66
99,SnackOverflow,IN,497796.2
100,Arthur y el resto,CL,497757.32
101,OntarioStreet700,HK,497352.31
102,Space Crutraders,DE,497263.18
103,Algoveivaajat,FI,497069.15
104,MatchaClub,CH,496890.26
105,TatooineTraders,CH,496385.33
106,Live Long and Prosper,US,496380.96
107,AgentLab,CN,496121.94
108,Hyenas,IN,496104.45
109,The IMCredibles,US,495652.2
110,Eulers_Tour,IN,495649.42
111,Ascend Alpha,IN,495543.55
112,Any Golfers,US,495452.1
113,Paris,FR,495444.63
114,Redbills,IN,495326.61
115,3gold1blue,CA,495153.11
116,Proton,AU,494846.91
117,Vega,ES,494731.78
118,San Ti Ren,EE,494731.29
119,Batice,HR,494693.98
120,hissss,IN,494465.96
121,Achyuths warriors,IN,494459.16
122,Margin Call Alpha,AU,494396.49
123,Secret Sauce,US,494279.23
124,Twisted Minds,IN,494202.98
125,Cali Cat,US,494112.15
126,Dynamic survival,AU,493974.03
127,Tayaya Trading,BR,493898.41
128,Haaslers,US,493811.28
129,IOI,US,493604.26
130,Kalsaedi,CA,493583.22
131,Seattle Spread Hawks,AU,493530.42
132,BLSY,AU,493401.08
133,Japan Trip Funding,US,493373.1
134,RyuuBetain,IN,493298.06
135,Bubble Up,IN,493269.55
136,MarginCallers,AU,493224.09
137,Good study - Day up,DE,493127.57
138,Something_like_this,IN,493089.93
139,y5nnik,DE,493055.81
140,kumon,ID,492902.55
141,IMPS,GB,492834.92
142,Winston Overwatch,US,492822.64
143,ExMachina,NL,492783.16
144,Kasebrot-Kalkul,IN,492770.1
145,Space Janitors,IN,492755.53
146,Jobless101,IN,492710.48
147,SuperVoids,SG,492683
148,SEBI,IN,492387.5
149,GotLucky,RO,492248.66
150,Nimitz,CA,492172.46
151,404BrainNotFound,US,492083.22
152,DeepSpaceDelta,DE,491936.35
153,Orbital Edge,AU,491853.16
154,TinkleTown,AU,491842.5
155,Schaga Trading,NL,491829.98
156,Bayesian Ballistics,US,491661.45
157,Gowda Reborn,IN,491652.53
158,ikun,HK,491517.79
159,Prosperity4,US,491424.75
160,VHP Capital,DE,491345.61
161,Centrale Alpha Fund,FR,491341.48
162,PigameforTrading,CN,491320.53
163,Lunar Leverage,CH,491226.75
164,8 Brazillian Bytes,US,491080.27
165,Thriller,BE,491054.5
166,Pine Street,US,491041.66
167,InQuantsWeTrust,US,491020.78
168,Real_Loafers,IN,490995.47
169,Jim Simons Enthusiasts,IT,490803.47
170,Ctrl C Ctrl Win,IN,490787.06
171,abacus,US,490779.02
172,Plutonium,US,490778.82
173,nema problema ovde,RS,490774.12
174,Itna nahi socha,IN,490747.68
175,volmaxxing,US,490694.75
176,I am Maximus,FR,490622.06
177,SEVEN,IN,490588.95
178,ruthvik et al,IN,490503
179,Draguax,AU,490471.18
180,123gogogo,US,490450.04
181,Arcadia 2,IT,490324.93
182,-_-        -_-,IL,490286.29
183,pennyfisher,IN,489985
184,Hongbao Traders,NL,489946.29
185,Cartel Business School,US,489918.57
186,TheMonkeLovers,IN,489688.49
187,EconIsARealMajorWeSwear,US,489657.02
188,tapisar,US,489586.83
189,Elon Musk,US,489455.88
190,roorkeepelago,IN,489375.23
191,Alpha Adventurers,GB,489366.95
192,Make alpha great again,IN,489342.63
193,Robotii,RO,489332.09
194,State Space Time,US,489309.29
195,Capital of Oz,AU,489309.18
196,Geezers of the Galaxy,IE,489223.68
197,Alpha__,IN,489195.76
198,TheBakas,IE,489179.69
199,LxL,US,488986.71
200,The Big 4,CH,488981.1
201,enokela,NG,488951.14
202,Overfitters,IN,488903.26
203,Mortis Fanclub,SG,488811.74
204,Curd Rice,IN,488796.88
205,why_not,FR,488725.97
206,KTH Moon Travellers,SE,488681.59
207,tt3,IE,488660.15
208,FinnaTrade,US,488650.84
209,Pietramelara,IT,488625.43
210,ETHedge,CH,488625.1
211,QuantWannabes,AU,488546.26
212,Motor City Money,US,488538.59
213,FeynmanKac,IT,488457.34
214,RookAtHimThatsMyQuant,US,488443.32
215,Set Isomorphism,CA,488362.62
216,NutFlush,US,488263.66
217,Patu Securities,IT,488211.93
218,Noisy_Room,IN,488205.08
219,Bum Coders,JP,488191.9
220,Trader1729,IN,488184.62
221,Pan Twardowski,PL,488143.94
222,Greek Gods,IN,488136.17
223,Quantara,PT,487999.85
224,DECIDED,IN,487930.57
225,TTG,US,487903.33
226,induction hunters,IN,487880.82
227,Supermartingales,FI,487829.46
228,market maxxer,IN,487811.42
229,Alpha Hunters Padua,IT,487788.14
230,Heels,US,487745.8
231,chatswood rsl enjoyers,AU,487713.69
232,Quancks,ES,487350.51
233,team wonderpets,US,487281.58
234,The Reaver,IN,487278.98
235,Forgetful Functors,AU,487251.43
236,Breakout Squad,IN,487250.66
237,yungdum,HK,487151.7
238,team_nyanracingcat,RU,487140.27
239,Prosperous Team,IN,487123.74
240,Event Horizon,IN,487091.44
241,CAGR paglus,IN,487086.79
242,SigmaTraders,NL,487079.21
243,Martingale,IN,487064.82
244,AXE,US,487063.11
245,TheDunningKrugerEffect,GB,487050.4
246,Yellow Alpha,ES,486898.27
247,Zero EV,GB,486763.97
248,McChicken Capital,US,486762.67
249,Sackcers,IN,486729.36
250,aaaaaaawawaw,CA,486713.49
251,Never Lucky,AU,486634.84
252,blackpinkkk,KR,486608.08
253,mi_bombo,IN,486571.36
254,Sannin,IN,486546.38
255,CH1,IN,486516.25
256,Jarvis_IITM,IN,486478.19
257,SHDC,HK,486444.96
258,Banana farm,US,486289.72
259,DNE,CA,486287.33
260,Dark Forest Hunter,US,486222.71
261,BigRedRegression,US,486169.56
262,Lyari,IN,486097.11
263,GabeTrade,CH,486094.35
264,Three Stooges,AU,486081.44
265,Cab Team,GB,486054.76
266,gradient exploders,JP,485956.94
267,BogleSupremacist,US,485926.54
268,IQ Arbitrage,GB,485819.65
269,QuriousQuant,GB,485768.21
270,StochastiX-Labs,US,485764.71
271,Edi Dream Team,GB,485732.6
272,Little Apple Legends,US,485637.4
273,Grim Patrons,FR,485541.08
274,hwtime,US,485518.27
275,Hanseatic League,DE,485372.48
276,Team JR,FR,485288.35
277,Rocky Mountain Goats,IN,485221.39
278,IITRPR_Traders,IN,485211.9
279,Uvic lions,CA,485193.09
280,Zenith Galactic Vision,IN,485126.51
281,Beauty Hunters,CH,485064.62
282,404_Alpha Not Found,US,485046.65
283,Blank,AQ,484998.01
284,Outer Space Owls,US,484870.23
285,Satisfactory,IN,484802.78
286,all_in_on_black_n_gold,US,484799.2
287,bobthebuilder,IN,484787.28
288,ITALIAN HUSTLERS,IT,484758.47
289,Too_Sigma,IN,484656.99
290,Alvin Digital,BG,484561.64
291,PHK_1729,US,484561.33
292,The Bullpen,US,484555.45
293,Band4Band,CH,484484.37
294,ijustwokeupfromadream,US,484458.89
295,Darth Trader,CH,484168.14
296,Kunts,IN,484137.06
297,Wolf der Bahnhofstrasse,CH,484108.94
298,Trick or Trade,AU,484081.63
299,Wolf of Bath Street,GB,484070.93
300,GoofyGods,IN,484069.26
301,Alpha-BG Lovers,US,483949.98
302,Esentai River Trading,HK,483919.96
303,drunk cigs dont count,AU,483897.6
304,Ontological Strategies,US,483814.26
305,Ntle,GB,483764.99
306,Algoholicz,IN,483693.63
307,lIama,CH,483681.19
308,MACDaddies,IN,483647.03
