placement,team_name,country_code,score
1,yuh,AU,125850.17
2,Negative Eevee,NL,123244.41
3,Vibing,AU,121845.88
4,Seven Deuce Capital,US,120286.13
5,DU Trading,GB,120210.81
6,DU Market Makers,GB,119540.69
7,The Big Posteriors,US,119380.94
8,DU Quant,GB,119314.81
9,Une Baguette Fromage,NL,119313.13
10,DU Trading Desk,GB,119290.69
11,optieverhandelaaren,US,118586.66
12,Flowstate,US,118195.88
13,Prosperity Crushers,AU,117797.31
14,broke like joc,AU,117732.94
15,Hexatech,GB,117623.69
16,prosperity 3 man,AU,117590.69
17,DU Market Making,GB,117539.13
18,glou,GB,117371.56
19,ShrimpTrading,PL,117352.31
20,72 Sigma,US,117288.78
21,63-bit integers,AU,116927.41
22,Exodia,CA,116855.69
23,DannyNegru,IN,116683.94
24,nema problema ovde,RS,116400.69
25,porridge,US,116130.69
26,Arcadia 2,IT,116000
27,Open for Quant Jobs,CH,115865.44
28,BASTION,AU,115423.42
29,John Slope,US,115248.03
30,gacrux,AU,115104.31
31,final position 10 at 15,AU,115078.13
32,Junk Trading,CN,114823.34
33,Algoholicz,IN,114525.61
34,BlackSouls,IN,114243.88
35,fenn,US,114040.44
36,CCC_v2,US,113840.13
37,Jaded,US,113742.94
38,CarbonBlack,IN,112984.69
39,Infinity Stones,IN,112944.69
40,HireMePLSSSSSSSSSSSSSSS,SG,112614.92
41,cRashCrafters,DE,112392.69
42,Gorlock,IN,112164.08
43,Myname,IN,112140.69
44,second_best,US,112043.41
45,Space Monkeys,IN,111709.69
46,Cosmic Latte,IN,111708.69
47,Alien,DE,111540.11
48,Euporia,US,111433.69
49,Proton,AU,111410.53
50,drunken noodles,US,111280
51,abacus,US,111218.31
52,TUMorrow Traders,DE,110945
53,Beauty Hunters,CH,110849.28
54,DCJ9,US,110676.91
55,Poverty,IN,110674.5
56,TatooineTraders,CH,110517.47
57,Yin,HK,110467.89
58,Meiji Restoration,AU,110381.31
59,ICT Mogged,AU,110377.09
60,WanderingTraders,AT,110180.11
61,HATSK,US,110039.69
62,BelmonteHunters,CH,109917.08
63,Caustic Orbifold,PH,109903.91
64,kumon,ID,109772.28
65,CUATS 2,GB,109705
66,1112233,TW,109531.25
67,test1,GB,109403.06
68,Solarflare,DE,109114.44
69,Vega,ES,108696.08
70,Uvic lions,CA,108404.41
71,Waterloo Courtsiders,CA,108278.69
72,Alphito,ES,108270.2
73,unknownpophaha,AU,108205.08
74,AgentLab,CN,108139.69
75,Keble Kwants,GB,108090.44
76,The Silence of Lambdas,IT,108025.2
77,Relativistic Quants,FR,107673.56
78,Twisted Minds,IN,107580.16
79,Jane Avenue,US,107475.56
80,Margin Call Mafia,IN,107430.88
81,PMQuants,PT,107280.53
82,Secret Sauce,US,107191.44
83,dih,GB,106951.45
84,QRG,US,106836.31
85,RealCityScape,DK,106773.81
86,BrainTeam,AU,106769.38
87,bear,US,106528.75
88,XIREC Collectors,CO,106459.84
89,Centrale Alpha Fund,FR,106359.44
90,Roots Ocean Prime,CN,106243.22
91,OntarioStreet700,HK,106057.66
92,Gautam,US,106038.67
93,Dream Team,US,106013.44
94,psrbot,AU,105939.31
95,Alpha Search Team,GB,105897.45
96,Rocky Mountain Goats,IN,105692.13
97,Qu4nt D3stroy3rs,US,105611.44
98,derMiro,HR,105589.75
99,team team team,GB,105585.72
100,The Arbitrage Goats,US,105551.03
101,Tayaya Trading,BR,105484.22
102,PowderDays,AT,105457.69
103,Oracles of Delphi,US,105441.75
104,Meiji,GB,105439.95
105,Stop the Birds,AT,105346.69
106,Zextros,IN,105340.31
107,The Vega Games,AU,105304.81
108,GUDG,SE,105136.69
109,TTG,US,105111.44
110,A manger,GB,105104.75
111,JackOfHearts,AT,105082.69
112,Penn NewCLEAR,US,105077.06
113,The Mountain Goats,GB,105076.13
114,Geezers of the Galaxy,IE,104965.94
115,Berkeley x Stanford,US,104959.44
116,Mamba In,US,104945.47
117,Frankfurt_Hedgehawk,DE,104944.53
118,no,AU,104821
119,Kunts,IN,104764.75
120,Hyenas,IN,104697.75
121,Who is weady to wumble,AU,104695
122,X Liquidity Providers,IT,104654.44
123,Hermelijn,NL,104615.5
124,Whim,IN,104532.69
125,Pluto,DE,104448.44
126,yurtles,US,104316.75
127,les bassemitos,FR,104267.16
128,Starkl7,US,104260.11
129,The barn,FR,104250.06
130,Silence of the Lambdas,IT,104244.19
131,Peaky Minors,HK,104217.56
132,Tundra-wawa,AU,104206.89
133,ras,US,104185.5
134,Any Golfers,US,104181.44
135,kai,AU,104126.91
136,thehailmary,IN,104119.69
137,BUENO TRADERS,AE,104118.13
137,GOLowVol,GB,104118.13
138,USYD_No_1,AU,104094.61
139,Jinya,FR,103991.94
140,tudx,DE,103991.51
141,AvocadoToast,AU,103959
142,Kebab house,HK,103950.69
143,Team Jimmy,US,103925.5
144,MikeyTeam,CN,103902.69
145,Parallax 01,US,103888.72
146,ABC - Brown,PS,103880.44
147,Little Apple Legends,US,103877.98
148,pink fluffy dumplings,AU,103867.25
148,bonk,AU,103867.25
149,Pabs,DE,103825.31
150,Lagrange Multiplier,GB,103822.81
151,RT Gamma,GB,103803.72
152,Degen Traders,SG,103798.75
153,Im living my life,GB,103790.75
154,bugless,US,103731.44
155,Draguax,AU,103701.89
156,Serenissima Syndicate,IT,103698.69
157,crackedexplosion,AU,103691.25
157,Market Manipulators,AU,103691.25
158,Farming in Space,HK,103658.78
159,Praxis Prodigies,CA,103656.06
160,Too_Sigma,IN,103625.7
161,ChipiChipi ChapaChapa,IN,103620.53
162,Vegasteroids,FR,103616.75
163,Starmie,US,103605.69
164,ahhhhhhhhhhhhh,AU,103602.25
165,roorkeepelago,IN,103591.41
166,DECIDED,IN,103539.95
167,chatswood rsl enjoyers,AU,103529.06
168,Paris,FR,103507.94
169,Red Devils,US,103466.16
170,Dark Forest Hunter,US,103465.56
171,Helicopter Holding,NL,103446
172,Alpha Adventurers,GB,103443.06
173,Market Predators,SG,103413.78
174,J4offsuit,AT,103367.69
175,Patrick David,NZ,103343
176,Joomo,KR,103327.44
177,SNUCLS,KR,103316.94
178,Zolu,US,103291.06
179,Yale Penguin,US,103274.69
180,Crusoim,US,103263.94
181,Yellow Alpha,ES,103255.19
182,Cyg X-1,CH,103241.22
183,Almaty Lake Capital,HK,103168.94
184,Bottled Air,AU,103134
184,totally normal teamname,AU,103134
184,TouchingGrass,AU,103134
184,HappyFishies,AU,103134
184,HappyFishies2,AU,103134
184,HappyFishies3,AU,103134
185,Satisfactory,IN,103114.69
186,Gurren Lagann,NL,103110.89
187,the_alphamakers,CN,103079.94
188,Crispy Carp Capital,VN,103049.69
189,Blindsight,GB,103027.44
190,Outsiderss,GB,103007.82
191,SatoruGojo,CA,103002.59
192,Yumpy,US,102959.44
193,OuterTrojan,GB,102927.44
194,Escape Velocity,IN,102926.25
195,Sophisticated Sigmas,US,102906.56
196,Arthur y el resto,CL,102896.09
197,IceCreamnPie,AU,102884.75
198,GoBears,US,102866.16
199,Athena123,AU,102841.69
200,Interplanetary Invasion,AU,102798.69
201,Prosperous Team,IN,102787.94
202,AlphaStockGrookers,CH,102775.09
203,PLVS VLTRA,ES,102763
204,Zaremar,SE,102752.17
205,SufferingFromProsperity,IN,102724.23
206,Kerbonauts,CH,102721.59
207,404 Team Not Found,IN,102705.41
208,Jared,US,102699.44
209,Birans disciples,SK,102655.04
210,State Space Time,US,102601.09
211,Vienndiagram,AT,102586.44
212,TheDunningKrugerEffect,GB,102585.16
213,Plain N Spicy,NL,102577.47
214,StimulatedPlatypuses,US,102572.94
215,trader6767,IN,102556.16
216,MFAMSMC River Trading 2,US,102539.25
217,DU Team128319283,GB,102495.81
218,Curly Hair Gang,GB,102472.53
219,Dynamic survival,AU,102441
219,TimTamStudySlam,AU,102441
219,_idk,AU,102441
219,My_Planet1,AU,102441
219,My_Planet2,CN,102441
219,My_Planet3,HK,102441
219,Neptunium9301,AU,102441
219,Panda Two,AU,102441
219,Athena12345,AU,102441
219,LYC,AU,102441
219,Np93,AU,102441
220,W_W,AT,102429.44
221,Siuuuuu,IN,102395.59
222,I love Claude,US,102389.94
223,low cortisol traders,GB,102350.31
224,Unhedged but Optimistic,NL,102348.44
225,Paddi,DE,102345.69
226,SydneyTrainsIsGoodTrust,AU,102306.69
227,Seattle Spread Hawks,AU,102290.34
228,Licata Arbitrage,FR,102252.56
229,Eulers_Tour,IN,102249.16
230,all_in_on_black_n_gold,US,102231.31
231,BigMoneyStonks,AT,102230.69
232,073,NL,102205.25
233,The Duck Trader,US,102196.84
234,DataBreakers,FR,102196.41
235,ColumbiaU Traders,US,102178.94
236,Baptlarafale,FR,102154.22
237,garchlovers,GB,102143.44
238,Naser Alsayegh,BH,102138.36
239,polite_monkey,IN,102129.83
240,Buy_low_sell_high,IN,102122.69
241,HKUSTSomethingSomething,HK,102100.72
242,ITERATIVE BYTES,IN,102097.56
243,IndependentQuant,NL,102097.25
244,Solo Yolo Bolo,DE,102096.81
245,Sheep of Wall Street,US,102086
246,pecel lele,AU,102077.44
247,DeepSpaceDelta,DE,102066.69
248,Sigmoid,AU,102060.13
249,John Prosperity,US,102052.95
250,Vayam Sarve Vijayinah,GB,102038.47
251,Unexpected Value,GB,102036.94
252,psk,US,102031.31
253,Boiler_Quant,US,101987.63
254,Robert Defares,CN,101962.09
255,Athena1234,AU,101924.69
256,Arbland,NL,101914.19
257,russianjew,GB,101912.45
258,Vanguard,US,101900
259,Mach7,US,101818.78
260,PlutusAd,US,101800.72
261,GremlinInc,IN,101784.14
262,IOI,US,101773
263,animalfarm,US,101746.75
264,Adwait,US,101743.78
265,SBF,GB,101740.16
266,PuliyadiBetko,IN,101739.36
267,Goaterhouse,GB,101728.16
268,TinkleTown,AU,101721.47
269,Gradient Descent,US,101717.19
270,FAHHH,IN,101714.38
271,Newbie_,IN,101709.44
272,My_Planet5,US,101705.31
273,Bermuda Traders,IN,101701.56
274,WeAreTheAlphas,HK,101701.41
275,DARTY,US,101678.09
276,Bridge789,RO,101668.69
277,ObjectNotFound,US,101663.44
278,ARC,US,101656.63
279,Bermuda Traders ReForge,IN,101646.44
280,Darth Trader,CH,101643.44
281,Alistair,GB,101623.69
282,Chambers St Research,US,101620.69
283,BlackSwans,AU,101620.36
284,UW quants,PL,101606.3
285,FMI_brat,BG,101597.13
286,AXin,CN,101585.41
287,Neil Trading,US,101580.44
288,Fergus,CA,101569.69
289,ELMAMUTDEU,BD,101556.81
290,Pretentious,IN,101524.44
291,foodio,US,101522.16
292,Three Sigma Skibidi,KZ,101520.59
293,Jjjjj,AF,101520.22
293,tt3,IE,101520.22
294,boysplayedwell,IN,101498.91
295,PepperPaprika,AU,101481.75
296,The Combine,US,101481.22
297,MSCF,US,101473.75
297,mscf-team-w,US,101473.75
298,Tomato Cartel,ES,101448.75
299,placeholder name,GB,101444.5
300,delta_one,IN,101435.69
301,hanan,KR,101385.44
302,Lizard,TW,101348.83
303,Drawdown traders,IN,101341.44
304,Intara-Day Trading,AU,101340.08
305,Antigravity,IN,101338.75
306,EFN,AU,101314.88
307,Suetta Technologies,ES,101310.69
308,Backstube,DE,101299.91
309,Grossman Zhou,US,101283.64
310,Emergence,AE,101272.19
311,Orbital Edge,AU,101215.69
312,Lazy_coders,IN,101215.63
313,Prop,GB,101205.3
314,collegetowncapital,US,101199.69
315,Doublecarr,US,101178.94
316,Trenkovo Trading,HR,101161.06
317,TheLast1Q,IN,101152.91
318,hissss,IN,101088.59
319,Evil Corp,NL,101087.69
320,sauce du chef,FR,101084.34
321,the-flash-boys,GB,101081.75
322,St Gallen River Trading,CH,101080.81
323,Real_Loafers,IN,101053.22
324,Live Long and Prosper,US,101005.88
325,GSTD,FR,100993.7
326,TORRE,ES,100990.16
327,NoFrequency,CA,100980.69
328,all in high card,AU,100973.06
329,Berk8,US,100950.81
330,Running Out of Theta,GB,100949.06
